RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394308,60,"Albany, NY",Msa,NY,233745.0,236029.0,243643.0,244730.0,249081.0,247993.0,249081.0,255607.0,260774.0,259849.0,255607.0,258265.0,259958.0,255607.0,255607.0,260502.0,265940.0,270835.0,271814.0,271921.0,277252.0,270835.0,260937.0,266375.0,266484.0,261046.0,260937.0,269747.0,277252.0,282691.0,292589.0,309883.0,315321.0,309992.0,"",295666.0,290384.0,285472.0,"","","","","","",""
394938,61,"Omaha, NE",Msa,NE,272997.0,278053.0,283007.0,296581.0,303229.0,313391.0,312430.0,303330.0,303280.0,302319.0,295242.0,284271.0,282915.0,288063.0,293118.0,307729.0,328608.0,331540.0,328507.0,319429.0,319675.0,313375.0,301308.0,290591.0,288568.0,293090.0,298275.0,315464.0,319913.0,318497.0,328102.0,333562.0,331085.0,328608.0,320014.0,321719.0,318619.0,320757.0,322166.0,339200.0,344980.0,342975.0,339900.0,317000.0,305500.0
394908,62,"New Haven, CT",Msa,CT,282534.0,282534.0,287873.0,302528.0,312996.0,323464.0,328698.0,329744.0,324407.0,314042.0,313938.0,312996.0,303570.0,298341.0,299388.0,308704.0,319167.0,329745.0,323988.0,319277.0,313938.0,308809.0,303470.0,303470.0,302528.0,298341.0,298236.0,302528.0,313938.0,313938.0,334979.0,344401.0,355811.0,345447.0,340213.0,334875.0,331839.0,314042.0,315000.0,324900.0,334900.0,359900.0,359900.0,349500.0,340000.0
394357,63,"Bakersfield, CA",Msa,CA,250020.0,249155.0,247712.0,258775.0,265412.0,265989.0,268394.0,269260.0,264546.0,259640.0,254830.0,250116.0,249155.0,245307.0,245211.0,245307.0,253676.0,264874.0,264546.0,264546.0,268394.0,261661.0,258726.0,254830.0,254830.0,254830.0,258775.0,259727.0,268394.0,264546.0,264546.0,268394.0,274166.0,287634.0,293406.0,298168.0,293406.0,278976.0,279900.0,285000.0,297000.0,300000.0,318888.0,315000.0,320000.0
394753,64,"Knoxville, TN",Msa,TN,269000.0,264900.0,259900.0,265000.0,275900.0,289900.0,294900.0,290000.0,284900.0,274900.0,270000.0,269000.0,260000.0,267900.0,259900.0,262000.0,277900.0,289500.0,296500.0,299900.0,299900.0,299900.0,294900.0,285000.0,275000.0,275000.0,275000.0,282000.0,299900.0,299900.0,309900.0,329900.0,344900.0,344500.0,329900.0,318000.0,299900.0,299900.0,299900.0,309600.0,329000.0,375000.0,373899.0,356400.0,349000.0
394653,65,"Greenville, SC",Msa,SC,258737.0,256739.0,256739.0,263931.0,270104.0,274908.0,275859.0,278750.0,275764.0,274908.0,264349.0,261496.0,261496.0,256835.0,256835.0,264920.0,272725.0,280615.0,284896.0,275764.0,270152.0,266252.0,265396.0,266252.0,266157.0,261590.0,261591.0,274908.0,275003.0,271103.0,283469.0,292506.0,285558.0,289177.0,286703.0,287681.0,284990.0,277990.0,275000.0,284900.0,299000.0,325000.0,324900.0,339900.0,341130.0
394952,66,"Ventura, CA",Msa,CA,775000.0,788500.0,774950.0,779000.0,779000.0,799000.0,759957.0,759000.0,750000.0,734999.0,699950.0,699900.0,689900.0,679900.0,694999.0,699000.0,709000.0,729000.0,739000.0,749900.0,760000.0,775000.0,789000.0,789900.0,775000.0,779900.0,795000.0,815000.0,831000.0,786000.0,799000.0,840000.0,859000.0,869999.0,875000.0,869750.0,849500.0,875000.0,"","","","","","",""
394318,67,"Allentown, PA",Msa,PA,224900.0,224900.0,217500.0,224490.0,233000.0,238900.0,239900.0,244000.0,244900.0,235500.0,229900.0,229900.0,225000.0,224900.0,222000.0,229900.0,239900.0,245000.0,249000.0,250000.0,254900.0,249900.0,245400.0,244900.0,241450.0,239900.0,240000.0,250000.0,269900.0,265000.0,269900.0,275000.0,289000.0,289000.0,289000.0,290400.0,289000.0,289900.0,299900.0,325000.0,324900.0,324900.0,325000.0,315000.0,300000.0
394561,68,"El Paso, TX",Msa,TX,183621.0,183670.0,182588.0,184218.0,184218.0,184707.0,185794.0,189653.0,191228.0,192913.0,191826.0,191826.0,193456.0,195630.0,200521.0,202640.0,203727.0,206444.0,208672.0,208618.0,206444.0,206390.0,206497.0,206498.0,210791.0,206488.0,206498.0,206444.0,206444.0,205357.0,209167.0,211933.0,216226.0,217258.0,217312.0,218337.0,"",229995.0,231395.0,231950.0,235950.0,240950.0,249950.0,253990.0,252500.0
394367,69,"Baton Rouge, LA",Msa,LA,232817.0,230000.0,229900.0,234900.0,239000.0,244900.0,249900.0,250000.0,245244.0,244900.0,244500.0,240000.0,240000.0,239900.0,240000.0,244400.0,247000.0,253900.0,259000.0,255000.0,250000.0,247900.0,244900.0,243000.0,241950.0,240000.0,239900.0,244900.0,249900.0,249000.0,250600.0,259900.0,263000.0,268000.0,272000.0,273900.0,269900.0,269900.0,269000.0,274900.0,284990.0,295300.0,299900.0,299900.0,298990.0
